arm,round,geometry,seconds,max_rss_bytes,peak_footprint_bytes
A1p,1,704x512x33,104.78,24290328576,26018989912
A1p,2,704x512x33,108.00,24296849408,26019202880
A1p,3,704x512x33,107.47,24291377152,26020185896
