arm,round,geometry,seconds,max_rss_bytes,peak_footprint_bytes
A1,1,704x512x33,113.97,24390664192,26420840232
A2,1,704x512x33,170.59,24290557952,27463550784
B,1,704x512x33,95.34,85105786880,42738004424
A1,2,704x512x33,115.21,24371281920,26391562000
A2,2,704x512x33,168.05,24289148928,27463305048
B,2,704x512x33,94.53,85111062528,42740593144
A1,3,704x512x33,113.99,24370495488,26390857488
A2,3,704x512x33,167.92,24286724096,27465025272
B,3,704x512x33,93.95,85108981760,42738839984
