arm,round,geometry,seconds,max_rss_bytes,peak_footprint_bytes
A3,1,704x512x33,70.83,38967574528,44295517488
A3,2,704x512x33,74.73,38972211200,44288357416
A3,3,704x512x33,76.17,38967623680,44295271512
